종목명,시가총액
삼성전자,11028285
SK하이닉스,6649513
삼성전자우,1068111
현대차,993075
LG에너지솔루션,833040
SK스퀘어,735725
삼성바이오로직스,705011
한화에어로스페이스,658980
두산에너빌리티,645045
기아,631298
KB금융,541752
HD현대중공업,526905
삼성물산,466586
셀트리온,435064
삼성생명,435000
신한지주,426714
한화오션,364326
현대모비스,345691
미래에셋증권,343741
HD현대일렉트릭,329110
NAVER,327822
삼성전기,319316
고려아연,310172
삼성SDI,303405
하나금융지주,295025
한국전력,292736
한미반도체,283077
POSCO홀딩스,263032
HD한국조선해양,259030
LS ELECTRIC,246900
효성중공업,241413
SK,238534
한화시스템,234260
우리금융지주,232702
삼성중공업,228800
삼성화재,209581
카카오,207657
LG화학,204718
HD현대,189978
HMM,186855
현대로템,184341
기업은행,183807
SK이노베이션,178520
LG전자,178361
메리츠금융지주,177958
KT&G,174079
두산,172626
현대건설,171599
KODEX 200,171489
포스코퓨처엠,165796
한국항공우주,165610
현대글로비스,162000
SK텔레콤,159374
TIGER 미국S&P500,146508
KT,145669
LIG넥스원,140800
포스코인터내셔널,135285
LG,133864
삼성에피스홀딩스,127152
하이브,125112
DB손해보험,122671
에이피알,121487
S-Oil,119338
삼성에스디에스,117924
한국금융지주,117582
NH투자증권,116525
키움증권,112515
카카오뱅크,112105
현대오토에버,108325
크래프톤,108082
대한항공,89478
현대차2우B,86885
삼양식품,85650
LS,85332
이수페타시스,84788
삼성증권,84121
KODEX CD금리액티브(합성),81740
한화,81405
카카오페이,80458
한화솔루션,79930
TIGER 반도체TOP10,79778
아모레퍼시픽,79550
한진칼,79314
KODEX 미국S&P500,78711
TIGER 미국나스닥100,78457
HD현대마린솔루션,76124
KODEX 머니마켓액티브,75178
유한양행,74470
TIGER 200,72314
SK바이오팜,71422
대우건설,70905
삼성E&A,70462
KODEX 코스닥150,69425
LG이노텍,68635
삼성카드,68357
한국타이어앤테크놀로지,67140
LG유플러스,65033
한미약품,64183
HD건설기계,62031
한전기술,61572
