종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
삼성전자,"186,300","하락 13,100",-6.57%,100,"11,028,285","5,919,638",49.50,"30,258,064",28.38,10.85
SK하이닉스,"933,000","하락 74,000",-7.35%,"5,000","6,649,513","712,702",53.45,"3,908,718",15.83,44.15
삼성전자우,"130,900","하락 8,300",-5.96%,100,"1,068,111","815,975",76.49,"4,880,824",19.94,N/A
현대차,"485,000","하락 32,000",-6.19%,"5,000","993,075","204,758",28.62,"1,603,262",13.73,8.41
LG에너지솔루션,"356,000","하락 19,500",-5.19%,500,"833,040","234,000",4.84,"302,070",-77.64,-5.19
SK스퀘어,"557,000","하락 51,000",-8.39%,100,"735,725","132,087",49.93,"779,508",8.38,37.82
삼성바이오로직스,"1,523,000","하락 78,000",-4.87%,"2,500","705,011","46,291",12.72,"32,660",57.32,19.44
한화에어로스페이스,"1,278,000","하락 42,000",-3.18%,"5,000","658,980","51,563",44.69,"232,870",44.73,19.14
두산에너빌리티,"100,700","하락 8,900",-8.12%,"5,000","645,045","640,561",24.51,"6,026,425",-633.33,1.52
기아,"161,700","하락 6,800",-4.04%,"5,000","631,298","390,413",38.95,"1,347,768",8.46,12.92
KB금융,"145,300","하락 9,900",-6.38%,"5,000","541,752","372,850",76.48,"1,120,856",9.73,8.86
HD현대중공업,"502,000","하락 57,000",-10.20%,"5,000","526,905","104,961",15.36,"281,943",34.48,11.39
삼성물산,"274,500","하락 23,000",-7.73%,100,"466,586","169,977",29.71,"387,383",19.38,6.02
셀트리온,"188,300","하락 13,700",-6.78%,"1,000","435,064","231,048",23.26,"741,755",42.34,5.94
삼성생명,"217,500","하락 14,000",-6.05%,500,"435,000","200,000",23.02,"469,207",18.89,4.96
신한지주,"89,900","하락 8,000",-8.17%,"5,000","426,714","474,654",61.87,"2,048,881",9.20,8.11
한화오션,"118,900","하락 10,200",-7.90%,"5,000","364,326","306,413",11.16,"992,719",29.24,22.59
현대모비스,"381,000","하락 19,500",-4.87%,"5,000","345,691","90,733",42.75,"291,322",9.60,7.68
미래에셋증권,"61,900","하락 5,800",-8.57%,"5,000","343,741","555,316",9.91,"2,920,975",35.74,7.94
HD현대일렉트릭,"913,000","하락 46,000",-4.80%,"5,000","329,110","36,047",36.95,"112,092",44.92,41.50
NAVER,"209,000","하락 12,500",-5.64%,100,"327,822","156,853",38.48,"692,498",16.89,7.37
삼성전기,"427,500","하락 37,000",-7.97%,"5,000","319,316","74,694",38.48,"602,142",46.98,7.70
고려아연,"1,486,000","하락 101,000",-6.36%,"5,000","310,172","20,873",9.52,"39,467",38.58,8.48
삼성SDI,"376,500","하락 24,000",-5.99%,"5,000","303,405","80,586",24.24,"462,226",-45.23,-3.15
하나금융지주,"106,000","하락 7,200",-6.36%,"5,000","295,025","278,326",67.54,"835,977",7.51,9.17
한국전력,"45,600","하락 3,550",-7.22%,"5,000","292,736","641,964",22.42,"2,521,427",3.43,19.40
한미반도체,"297,000","하락 12,500",-4.04%,100,"283,077","95,312",7.38,"788,575",133.00,34.76
POSCO홀딩스,"325,000","하락 18,500",-5.39%,"5,000","263,032","80,933",29.30,"445,916",40.20,1.18
HD한국조선해양,"366,000","하락 38,500",-9.52%,"5,000","259,030","70,773",34.31,"278,996",12.79,11.16
LS ELECTRIC,"823,000","하락 63,000",-7.11%,"5,000","246,900","30,000",22.45,"139,435",86.14,13.44
효성중공업,"2,589,000","하락 146,000",-5.34%,"5,000","241,413","9,325",28.16,"34,395",46.44,24.41
SK,"329,000","하락 31,000",-8.61%,200,"238,534","72,503",28.39,"198,808",15.05,6.35
한화시스템,"124,000","하락 12,000",-8.82%,"5,000","234,260","188,919",8.15,"1,275,975",96.72,6.60
우리금융지주,"31,700","하락 2,200",-6.49%,"5,000","232,702","734,076",47.01,"2,203,948",7.30,9.39
삼성중공업,"26,000","하락 2,550",-8.93%,"1,000","228,800","880,000",33.98,"7,716,407",41.94,13.74
삼성화재,"455,500","하락 19,000",-4.00%,500,"209,581","46,011",55.38,"92,306",11.43,13.11
카카오,"46,900","하락 3,100",-6.20%,100,"207,657","442,766",29.59,"2,105,077",89.33,0.56
